,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,ZipCode,Latitude,Longitude,Address,City,State,energy_grad,full_address
354,515,2015,NonResidential,Warehouse,STORAGE USA SELF STORAGE,5,NORTHWEST,1999,1.0,3.0,94400,0,94400,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,67155.0,34.0,13.2,13.6,35.6,36.1,884314.0,911789.0,0.0,205309.0,700543.0,1838.0,183800.0,14.65,0.12,No,Compliant,19582.0,47.72377,-122.3407784,1430 N 130TH ST,SEATTLE,WA,C,"1430 N 130TH ST,SEATTLE,WA"
1967,515,2016,NonResidential,Warehouse,0643-Seattle - North 130th Street,5,NORTHWEST,1999,1.0,3.0,94400,0,94400,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,67155.0,38.0,11.69999981,11.89999962,33.5,33.7,784364.5,800622.875,0.0,199550.0,680865.0,1035.0001220000001,103500.0,10.24,0.11,False,Compliant,98133.0,47.72377,-122.34095,1430 North 130th Street,Seattle,WA,C,"1430 North 130th Street,Seattle,WA"
355,516,2015,NonResidential,Other,AURORA SHOPPING CENTER,5,NORTHWEST,1964,1.0,1.0,111900,0,111900,"PARKING, STRIP MALL",Strip Mall,124231.0,,93.1,94.7,241.3,243.0,11564788.0,11763815.0,0.0,2501656.0,8536005.0,30291.0,3029138.0,220.38,1.64,No,Compliant,19582.0,47.72546,-122.3469881,13201 AURORA AVE N,SEATTLE,WA,NC,"13201 AURORA AVE N,SEATTLE,WA"
1968,516,2016,NonResidential,Other,Aurora Shopping Center,5,NORTHWEST,1964,6.0,1.0,111900,0,111900,"PARKING, STRIP MALL",Strip Mall,124231.0,,79.0,81.09999847,190.5,193.0,9814820.0,10079993.0,0.0,1872845.375,6390148.0,34246.69922,3424670.0,226.43,2.02,False,Compliant,98133.0,47.72546,-122.34658999999999,13201 Aurora Avenue North,Seattle,WA,NC,"13201 Aurora Avenue North,Seattle,WA"
356,517,2015,NonResidential,Other,SAM'S CLUB,5,NORTHWEST,1984,1.0,1.0,144776,0,144776,WHOLESALE CLUB/SUPERCENTER,Wholesale Club/Supercenter,144776.0,57.0,90.8,92.2,241.7,242.1,13146645.0,13355228.0,0.0,2971352.0,10138674.0,30084.0,3008393.0,230.45,1.29,No,Compliant,19582.0,47.72803,-122.3444389,13550 AURORA AVE N,SEATTLE,WA,B,"13550 AURORA AVE N,SEATTLE,WA"
1969,517,2016,NonResidential,Store,Sam's Club #18-6687,5,NORTHWEST,1984,0.0,1.0,144776,0,144776,WHOLESALE CLUB/SUPERCENTER,Wholesale Club/Supercenter,144776.0,56.0,92.69999695,95.5,246.2,249.1,13424079.0,13827966.0,0.0,3020895.5,10307295.0,31167.82617,3116783.0,237.39,1.64,False,Compliant,98133.0,47.72803,-122.34213999999999,13550 Aurora Ave. N.,Seattle,WA,B,"13550 Aurora Ave. N.,Seattle,WA"
357,518,2015,NonResidential,Store,AURORA ACRES BUILDING (RETAIL PLAZA),5,NORTHWEST,1967,1.0,1.0,114000,0,114000,"RETAIL STORE, SUPERMARKET/GROCERY STORE",Retail Store,57805.0,96.0,100.9,100.9,219.5,219.5,11511880.0,11511880.0,0.0,1817361.0,6201093.0,53110.0,5311044.0,325.3,2.62,No,Compliant,19582.0,47.7249,-122.3425529,13200 AURORA AVE N,SEATTLE,WA,A+,"13200 AURORA AVE N,SEATTLE,WA"
1970,518,2016,NonResidential,Store,AURORA ACRES (ID518),5,NORTHWEST,1967,1.0,1.0,114000,0,114000,"RETAIL STORE, SUPERMARKET/GROCERY STORE",Retail Store,57805.0,79.0,150.8999939,150.8999939,302.0,302.0,17225444.0,17225444.0,0.0,2296774.5,7836595.0,93888.48438,9388848.0,553.27,4.85,False,Compliant,98133.0,47.7249,-122.34331999999999,13200 AURORA AVE N,Seattle,WA,A,"13200 AURORA AVE N,Seattle,WA"
358,519,2015,NonResidential,Store,ALBERTSON'S STORE 410,5,NORTHWEST,1997,1.0,1.0,50083,0,50083,"PARKING, SUPERMARKET/GROCERY STORE",Supermarket/Grocery Store,50065.0,78.0,172.0,176.0,454.5,458.7,8611054.0,8812398.0,0.0,1923023.0,6561627.0,20497.0,2049700.0,154.6,2.52,No,Compliant,19582.0,47.7235,-122.34491274,13050 AURORA AVE N,SEATTLE,WA,A,"13050 AURORA AVE N,SEATTLE,WA"
1971,519,2016,NonResidential,Store,00410-Hwy 99 & 130th,5,NORTHWEST,1997,1.0,1.0,50083,0,50083,"PARKING, SUPERMARKET/GROCERY STORE",Supermarket/Grocery Store,50065.0,78.0,173.0,177.8000031,454.2,459.2,8663691.0,8901074.0,0.0,1913361.75,6528390.0,21353.00195,2135300.0,158.92,3.17,False,Compliant,98133.0,47.7235,-122.34458000000001,13050 Aurora Avenue North,Seattle,WA,A,"13050 Aurora Avenue North,Seattle,WA"
359,520,2015,NonResidential,Office,THE BURKE BLDG,6,LAKE UNION,1988,1.0,3.0,124071,0,124071,OFFICE,Office,96504.0,77.0,49.1,51.5,154.0,161.7,4734631.0,4971330.0,0.0,1387559.0,4734548.0,3.0,279.0,33.02,0.1,No,Compliant,18377.0,47.650859999999994,-122.3530578,400 N 34TH ST,SEATTLE,WA,A,"400 N 34TH ST,SEATTLE,WA"
1972,520,2016,NonResidential,Office,Burke Building,6,LAKE UNION,1988,1.0,3.0,124071,28645,95426,OFFICE,Office,96504.0,73.0,51.70000076,51.70000076,162.4,162.4,4991360.5,4991360.5,0.0,1462254.125,4989211.0,21.48999977,2149.0,34.9,0.28,False,Compliant,98103.0,47.650859999999994,-122.35412,400 North 34th Street,Seattle,WA,A,"400 North 34th Street,Seattle,WA"
360,521,2015,NonResidential,Office,THE EVANSTON BUILDING,6,LAKE UNION,2000,1.0,4.0,90000,36528,53472,OFFICE,Office,90000.0,82.0,45.0,46.2,141.2,144.9,4045980.0,4154068.0,0.0,1185809.0,4046148.0,0.0,0.0,28.21,0.12,No,Compliant,18377.0,47.64963,-122.3517949,501 N 34TH ST,SEATTLE,WA,A+,"501 N 34TH ST,SEATTLE,WA"
1973,521,2016,NonResidential,Office,The Evanston Building,6,LAKE UNION,2000,1.0,4.0,90000,36528,53472,OFFICE,Office,90000.0,84.0,43.29999924,43.29999924,136.0,136.0,3897738.0,3897738.0,0.0,1142361.5,3897737.0,0.0,0.0,27.17,0.3,False,Compliant,98103.0,47.64963,-122.35158,501 N 34th Street,Seattle,WA,A+,"501 N 34th Street,Seattle,WA"
361,522,2015,NonResidential,Office,THE  WATERSIDE BUILDING,6,LAKE UNION,2001,1.0,3.0,96041,33709,62332,"OFFICE, PARKING",Office,62232.0,69.0,87.9,87.9,276.1,276.1,5471735.0,5471735.0,0.0,1603674.0,5471963.0,0.0,0.0,38.15,0.15,No,Compliant,18377.0,47.64849,-122.3505842,651 N 34TH ST,SEATTLE,WA,A,"651 N 34TH ST,SEATTLE,WA"
1974,522,2016,NonResidential,Office,The Waterside Building,6,LAKE UNION,2001,1.0,3.0,96041,33709,62332,"OFFICE, PARKING",Office,62232.0,70.0,87.0,87.0,273.1,273.1,5413418.0,5413418.0,0.0,1586581.875,5413417.0,0.0,0.0,37.74,0.39,False,Compliant,98103.0,47.64849,-122.35041000000001,651 N 34th St,Seattle,WA,A,"651 N 34th St,Seattle,WA"
362,523,2015,NonResidential,Office,ADOBE BUILDING-801-N 34 ST.,6,LAKE UNION,1999,1.0,3.0,280957,114829,166128,LARGE OFFICE,,,94.0,74.1,74.1,228.5,228.5,12229610.0,12229610.0,0.0,3484213.0,11888628.0,3404.0,340435.0,100.96,0.18,No,Compliant,18377.0,47.64822,-122.3484595,801 N 34TH ST,SEATTLE,WA,A+,"801 N 34TH ST,SEATTLE,WA"
1975,523,2016,NonResidential,Office,Adobe Seattle,6,LAKE UNION,1999,1.0,3.0,280957,114829,166128,"DATA CENTER, OFFICE, PARKING, RESTAURANT",Office,152579.0,96.0,68.69999695,68.69999695,211.3,211.3,11325513.0,11325513.0,0.0,3219974.5,10986553.0,3366.104004,336610.0,94.47,0.34,False,Compliant,98103.0,47.64822,-122.34848000000001,801 N 34th,Seattle,WA,A+,"801 N 34th,Seattle,WA"
363,524,2015,NonResidential,Office,FREMONT LAKE UNION CENTER - PLAZA BLDG,6,LAKE UNION,1999,1.0,4.0,243334,103032,140302,"OFFICE, PARKING",Office,138995.0,76.0,74.3,74.3,224.9,224.9,10328702.0,10328702.0,0.0,2862230.0,9766334.0,5628.0,562773.0,97.97,0.23,No,Compliant,18377.0,47.64882,-122.348972,701 N 34TH ST,SEATTLE,WA,A,"701 N 34TH ST,SEATTLE,WA"
1976,524,2016,NonResidential,Office,Plaza 701 N 34th,6,LAKE UNION,1999,1.0,4.0,243334,103032,140302,"OFFICE, PARKING",Office,138995.0,89.0,62.20000076,62.20000076,187.4,187.4,8651835.0,8651835.0,0.0,2378856.0,8116657.0,5351.779785,535178.0,85.01,0.35,False,Compliant,98103.0,47.64882,-122.34905,701 N. 34th Street,Seattle,WA,A+,"701 N. 34th Street,Seattle,WA"
364,525,2015,NonResidential,Store,SEATTLE ART MUSEUM,7,DOWNTOWN,1991,1.0,6.0,154660,0,154660,"DATA CENTER, LIBRARY, NON-REFRIGERATED WAREHOUSE, OFFICE, OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY, OTHER - RECREATION, OTHER - SERVICES, RESTAURANT, SOCIAL/MEETING HALL",Other - Entertainment/Public Assembly,119815.0,,221.1,225.0,529.2,533.9,55947848.0,56927008.0,20278584.0,10103170.0,34473447.0,11973.0,1197256.0,1869.17,11.13,No,Compliant,18081.0,47.6074,-122.33785248,1300 1ST AVE,SEATTLE,WA,NC,"1300 1ST AVE,SEATTLE,WA"
1977,525,2016,NonResidential,Store,Seattle Art Museum,7,DOWNTOWN,1991,1.0,6.0,154660,0,154660,"DATA CENTER, LIBRARY, NON-REFRIGERATED WAREHOUSE, OFFICE, OTHER - ENTERTAINMENT/PUBLIC ASSEMBLY, OTHER - RECREATION, OTHER - SERVICES, RESTAURANT, SOCIAL/MEETING HALL",Other - Entertainment/Public Assembly,119815.0,,209.3000031,212.39999390000003,519.0,522.7,52960796.0,53734196.0,17548416.0,10239394.0,34936812.0,4755.599609000001,475560.0,1623.34,10.5,False,Compliant,98101.0,47.6074,-122.33776999999999,1300 1st Avenue,Seattle,WA,NC,"1300 1st Avenue,Seattle,WA"
365,526,2015,NonResidential,Office,PLAZA BUILDING - SEATTLE DESIGN CENTER,2,GREATER DUWAMISH,1982,1.0,5.0,390295,121375,268920,"OFFICE, PARKING",Office,243018.0,95.0,32.3,32.3,101.3,101.3,7838600.0,7838600.0,0.0,2297362.0,7838925.0,0.0,0.0,54.65,0.05,No,Compliant,18388.0,47.55146,-122.32697144,5701 6TH AVE S,SEATTLE,WA,A+,"5701 6TH AVE S,SEATTLE,WA"
1978,526,2016,NonResidential,Office,Seattle Design Center (Plaza Center),2,GREATER DUWAMISH,1982,1.0,5.0,390295,121375,268920,"OFFICE, PARKING",Office,243018.0,95.0,31.60000038,31.60000038,99.3,99.3,7683885.0,7683885.0,0.0,2252017.5,7683884.0,0.0,0.0,53.57,0.14,False,Compliant,98108.0,47.55146,-122.32831999999999,5601 6th Ave. S,Seattle,WA,A+,"5601 6th Ave. S,Seattle,WA"
366,527,2015,NonResidential,Warehouse,NORTHWEST CORPORATE PARK DISTRIBUTION WAREHOUSE,2,GREATER DUWAMISH,1967,1.0,2.0,90000,0,90000,"NON-REFRIGERATED WAREHOUSE, OFFICE",Non-Refrigerated Warehouse,70000.0,89.0,14.1,14.8,41.2,41.9,1272814.0,1335590.0,0.0,332526.0,1134627.0,1382.0,138234.0,15.25,0.12,No,Compliant,18388.0,47.54983,-122.3286358,5900 4TH AVE S,SEATTLE,WA,A+,"5900 4TH AVE S,SEATTLE,WA"
1979,527,2016,NonResidential,Warehouse,Northwest Corporate Park,2,GREATER DUWAMISH,1967,1.0,2.0,90000,0,90000,"NON-REFRIGERATED WAREHOUSE, OFFICE",Non-Refrigerated Warehouse,70000.0,87.0,15.89999962,16.29999924,46.2,46.7,1429146.375,1468317.375,0.0,373072.1875,1272922.0,1562.23999,156224.0,17.17,0.19,False,Compliant,98108.0,47.54983,-122.32858,5900 4th Ave S,Seattle,WA,A+,"5900 4th Ave S,Seattle,WA"
367,528,2015,NonResidential,Other,OREGON TILE AND MARBLE,2,GREATER DUWAMISH,1966,1.0,1.0,50200,0,50200,OTHER,,,,19.7,19.7,43.1,43.1,989975.0,989975.0,0.0,157424.0,537154.0,4528.0,452844.0,27.8,0.51,No,Compliant,18388.0,47.55032,-122.3260997,5930 6TH AVE S,SEATTLE,WA,NC,"5930 6TH AVE S,SEATTLE,WA"
1980,528,2016,NonResidential,Store,Oregon Tile & Marble,2,GREATER DUWAMISH,1966,1.0,1.0,50200,0,50200,RETAIL STORE,Retail Store,50200.0,,20.89999962,23.79999924,43.0,46.1,1047461.0,1193084.5,0.0,148728.2969,507461.0,5400.0,540000.0,32.22,0.64,False,Compliant,98108.0,47.55032,-122.32614,5930 6th Ave. South,Seattle,WA,NC,"5930 6th Ave. South,Seattle,WA"
368,529,2015,NonResidential,Office,BALLARD BUILDING,6,BALLARD,1925,1.0,6.0,94033,6200,87833,"MULTIFAMILY HOUSING, NON-REFRIGERATED WAREHOUSE, OFFICE, PARKING, RETAIL STORE",Office,53993.0,,56.7,62.6,132.0,137.8,4767227.0,5258135.0,0.0,853270.0,2911478.0,18559.0,1855870.0,118.86,1.13,No,Compliant,18386.0,47.66891,-122.38531494,2208 NW MARKET ST,SEATTLE,WA,NC,"2208 NW MARKET ST,SEATTLE,WA"
1981,529,2016,NonResidential,Office,Ballard Building,6,BALLARD,1925,1.0,6.0,94033,6200,87833,"MULTIFAMILY HOUSING, NON-REFRIGERATED WAREHOUSE, OFFICE, PARKING, RETAIL STORE",Office,53993.0,,56.59999847,60.20000076,130.9,134.5,4758198.0,5055586.0,0.0,841456.8125,2871051.0,18871.4707,1887147.0,120.24,1.28,False,Compliant,98107.0,47.66891,-122.38528000000001,2208 NW Market Street,Seattle,WA,NC,"2208 NW Market Street,Seattle,WA"
369,530,2015,NonResidential,Warehouse,MAGNUM SELF STORAGE,6,BALLARD,1941,1.0,2.0,63240,0,63240,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,63240.0,100.0,2.9,2.9,6.1,6.1,183521.0,183521.0,0.0,26721.0,91177.0,923.0,92348.0,5.54,0.08,No,Compliant,18386.0,47.66724,-122.3856536,5422 SHILSHOLE AVE NW,SEATTLE,WA,A+,"5422 SHILSHOLE AVE NW,SEATTLE,WA"
1982,530,2016,NonResidential,Warehouse,Magnum Building,6,BALLARD,1941,1.0,2.0,63240,0,63240,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,63240.0,100.0,3.599999905,4.3000001910000005,6.6,7.4,227566.7031,272913.6875,0.0,25031.90039,85409.0,1421.580078,142158.0,8.15,0.13,False,Compliant,98107.0,47.66724,-122.38553,5422 Shilshole Avenue NW,Seattle,WA,A+,"5422 Shilshole Avenue NW,Seattle,WA"
370,532,2015,NonResidential,Other,BALLARD BLOCKS,6,BALLARD,2008,1.0,5.0,322869,182454,140415,"PARKING, RETAIL STORE",Parking,182454.0,,129.4,138.6,306.4,316.1,16917964.0,18119420.0,0.0,3127286.0,10670743.0,62477.0,6247664.0,406.2,1.12,No,Compliant,18386.0,47.66233,-122.37516785,1416 NW 46TH ST,SEATTLE,WA,NC,"1416 NW 46TH ST,SEATTLE,WA"
1983,532,2016,NonResidential,Other,Ballard Blocks I,6,BALLARD,2008,1.0,5.0,322869,182454,140415,"PARKING, RETAIL STORE",Parking,182454.0,,130.6999969,134.8000031,308.4,312.7,17085344.0,17628306.0,0.0,3138366.25,10708106.0,63772.37891,6377238.0,413.35,1.28,False,Compliant,98107.0,47.66233,-122.3748,1416 NW 46th ST,Seattle,WA,NC,"1416 NW 46th ST,Seattle,WA"
371,533,2015,NonResidential,Warehouse,PUBLIC STORAGE MINI-STORAGE,7,MAGNOLIA / QUEEN ANNE,1988,1.0,4.0,130293,23400,106893,"PARKING, SELF-STORAGE FACILITY",Self-Storage Facility,130293.0,,3.9,3.9,12.2,12.2,505559.0,505559.0,0.0,148171.0,505580.0,0.0,0.0,3.52,0.01,No,Compliant,19575.0,47.64676,-122.3757914,3000 15TH AVE W,SEATTLE,WA,NC,"3000 15TH AVE W,SEATTLE,WA"
1984,533,2016,NonResidential,Warehouse,08168-Queen Anne/Magnolia,7,MAGNOLIA / QUEEN ANNE,1988,1.0,4.0,130293,23400,106893,"PARKING, SELF-STORAGE FACILITY",Self-Storage Facility,130293.0,,3.599999905,3.599999905,11.2,11.2,465533.3125,465533.3125,0.0,136440.0,465533.0,0.0,0.0,3.25,0.02,False,Compliant,98119.0,47.64676,-122.37581000000002,3000 15th Ave West,Seattle,WA,NC,"3000 15th Ave West,Seattle,WA"
372,534,2015,NonResidential,Warehouse,BOLT MODERN STORAGE QA,7,MAGNOLIA / QUEEN ANNE,1997,1.0,4.0,106041,0,106041,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,106041.0,93.0,10.5,10.9,26.3,27.4,1118392.0,1156549.0,0.0,225870.0,770699.0,3477.0,347725.0,23.84,0.19,No,Compliant,19575.0,47.65567,-122.3747028,1300 W NICKERSON ST,SEATTLE,WA,A+,"1300 W NICKERSON ST,SEATTLE,WA"
1985,534,2016,NonResidential,Warehouse,Nickerson Street Self  Storage,7,MAGNOLIA / QUEEN ANNE,1997,1.0,4.0,106041,0,106041,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,106041.0,94.0,10.60000038,11.80000019,25.7,27.0,1123943.0,1254908.5,0.0,216689.0,739343.0,3845.999756,384600.0,25.58,0.24,False,Compliant,98119.0,47.65567,-122.37478,1300 W. Nickerson Street,Seattle,WA,A+,"1300 W. Nickerson Street,Seattle,WA"
373,536,2015,NonResidential,Warehouse,MAGNOLIA SELF STORAGE,7,MAGNOLIA / QUEEN ANNE,1956,1.0,3.0,94470,0,94470,SELF-STORAGE FACILITY,Self-Storage Facility,94470.0,,9.8,9.9,19.4,19.9,922041.0,936488.0,0.0,120996.0,412857.0,5092.0,509201.0,29.92,0.3,No,Compliant,19575.0,47.636340000000004,-122.3754702,1900 15TH AVE W,SEATTLE,WA,NC,"1900 15TH AVE W,SEATTLE,WA"
1986,536,2016,NonResidential,Warehouse,Magnolia Bridge Self Storage,7,MAGNOLIA / QUEEN ANNE,1956,1.0,3.0,94470,0,94470,SELF-STORAGE FACILITY,Self-Storage Facility,94470.0,,10.60000038,12.60000038,20.7,22.9,1000796.875,1187738.375,0.0,126863.7031,432859.0,5679.380371,567938.0,33.18,0.35,False,Compliant,98119.0,47.636340000000004,-122.3754,1900 15th Ave W.,Seattle,WA,NC,"1900 15th Ave W.,Seattle,WA"
374,538,2015,NonResidential,Office,5TH & JACKSON BUILDING,2,DOWNTOWN,2002,1.0,10.0,181694,38186,143508,"OFFICE, OTHER, PARKING",Office,153364.0,86.0,51.9,51.9,162.9,162.9,8070420.0,8070420.0,0.0,2365305.0,8070756.0,0.0,0.0,56.26,0.12,No,Compliant,18379.0,47.59963,-122.3279455,315 5TH AVE S,SEATTLE,WA,A+,"315 5TH AVE S,SEATTLE,WA"
1987,538,2016,NonResidential,Office,Fifth and Jackson,2,DOWNTOWN,2002,1.0,10.0,181694,38186,143508,"OFFICE, OTHER, PARKING",Office,150840.0,88.0,49.90000153,50.90000153,156.8,159.7,7637986.0,7783714.5,0.0,2238565.5,7637985.0,0.0,0.0,53.25,0.29,False,Compliant,98104.0,47.59963,-122.32796,315 Fifth Avenue,Seattle,WA,A+,"315 Fifth Avenue,Seattle,WA"
375,540,2015,NonResidential,Warehouse,NWCP BLDG K,2,GREATER DUWAMISH,1966,1.0,1.0,22780,0,22780,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,22780.0,30.0,18.8,18.8,59.0,59.0,427697.0,427697.0,0.0,125351.0,427715.0,0.0,0.0,2.98,0.05,No,Compliant,18388.0,47.54769,-122.325775,6136 6TH AVE S,SEATTLE,WA,C,"6136 6TH AVE S,SEATTLE,WA"
1988,540,2016,NonResidential,Warehouse,NWCP-SEA Bldg K,2,GREATER DUWAMISH,1966,1.0,1.0,22780,0,22780,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,22780.0,33.0,17.60000038,17.60000038,55.4,55.4,402051.3125,402051.3125,0.0,117834.5,402051.0,0.0,0.0,2.8,0.12,False,Compliant,98108.0,47.54769,-122.3251,6136 6th Ave S,Seattle,WA,C,"6136 6th Ave S,Seattle,WA"
376,543,2015,NonResidential,Warehouse,SEATTLE DISTRIBUTION CENTER BLDG 1,2,GREATER DUWAMISH,1967,1.0,1.0,124472,0,124472,"DISTRIBUTION CENTER, PARKING",Distribution Center,124423.0,92.0,19.7,19.7,32.9,32.9,2457017.0,2457017.0,0.0,212657.0,725614.0,17314.0,1731432.0,97.01,0.75,No,Compliant,18388.0,47.54187,-122.329036,6701 E MARGINAL WAY S,SEATTLE,WA,A+,"6701 E MARGINAL WAY S,SEATTLE,WA"
1989,543,2016,NonResidential,Warehouse,Seattle Distribution Center Bldg A,2,GREATER DUWAMISH,1967,1.0,1.0,124472,0,124472,"DISTRIBUTION CENTER, PARKING",Distribution Center,124423.0,62.0,43.90000153,51.0,65.4,72.8,5464762.0,6345882.5,0.0,335860.8125,1145957.0,43188.04688,4318805.0,237.36,1.91,False,Compliant,98168.0,47.54187,-122.32713999999999,6701-6795 E. Marginal Way S.,Seattle,WA,A,"6701-6795 E. Marginal Way S.,Seattle,WA"
377,544,2015,NonResidential,Warehouse,SEATTLE DISTRIBUTION CENTER BLDG 2,2,GREATER DUWAMISH,1967,1.0,1.0,50065,0,50065,"DISTRIBUTION CENTER, PARKING",Distribution Center,49918.0,71.0,29.4,29.4,65.7,65.7,1465535.0,1465535.0,0.0,244455.0,834114.0,6315.0,631456.0,39.35,0.71,No,Compliant,18388.0,47.54187,-122.329036,6755 E MARGINAL WAY S,SEATTLE,WA,A,"6755 E MARGINAL WAY S,SEATTLE,WA"
1991,544,2016,NonResidential,Warehouse,Seattle Distribution Center Bldg B,2,GREATER DUWAMISH,1967,1.0,1.0,50065,0,50065,"DISTRIBUTION CENTER, PARKING",Distribution Center,49918.0,72.0,30.60000038,35.09999847,67.2,71.9,1529510.25,1751500.375,0.0,245094.0938,836261.0,6932.489745999999,693249.0,42.65,0.85,False,Compliant,98168.0,47.54187,-122.32713999999999,6701-6797 E Marginal Way S.,Seattle,WA,A,"6701-6797 E Marginal Way S.,Seattle,WA"
378,545,2015,NonResidential,Warehouse,GLACIER NORTHWEST,2,GREATER DUWAMISH,1969,1.0,1.0,57540,0,57540,DISTRIBUTION CENTER,Distribution Center,57540.0,29.0,32.7,32.7,89.2,89.2,1878979.0,1878979.0,0.0,442713.0,1510598.0,3684.0,368443.0,30.1,0.41,No,Compliant,18388.0,47.546209999999995,-122.334819,6335 1ST AVE S,SEATTLE,WA,C,"6335 1ST AVE S,SEATTLE,WA"
1992,545,2016,NonResidential,Warehouse,GLACIER NORTHWEST (6335 1st Ave S),2,GREATER DUWAMISH,1969,1.0,1.0,57540,0,57540,DISTRIBUTION CENTER,Distribution Center,57540.0,26.0,44.90000153,48.79999924,94.7,98.9,2582687.0,2808274.75,0.0,384226.5,1310981.0,12717.05957,1271706.0,76.68,1.33,False,Compliant,98108.0,47.546209999999995,-122.33486,6335 1st Ave S,Seattle,WA,C,"6335 1st Ave S,Seattle,WA"
379,546,2015,NonResidential,Warehouse,NW CORPORATE PARK,2,GREATER DUWAMISH,1966,1.0,1.0,85400,0,85400,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,85400.0,47.0,18.7,18.7,58.6,58.6,1593187.0,1593187.0,0.0,466936.0,1593253.0,0.0,0.0,11.11,0.05,No,Compliant,18388.0,47.54853,-122.3276771,410 S FRONT ST,SEATTLE,WA,B,"410 S FRONT ST,SEATTLE,WA"
1993,546,2016,NonResidential,Warehouse,NWCP-SEA Bldg A,2,GREATER DUWAMISH,1966,1.0,1.0,85400,0,85400,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,85400.0,49.0,18.0,18.0,56.5,56.5,1536998.25,1536998.25,0.0,450468.4063,1536998.0,0.0,0.0,10.72,0.13,False,Compliant,98108.0,47.54853,-122.32813999999999,410 S Front Street,Seattle,WA,B,"410 S Front Street,Seattle,WA"
380,547,2015,NonResidential,Warehouse,NW CORPORATE PARK,2,GREATER DUWAMISH,1966,1.0,1.0,55700,0,55700,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,55700.0,62.0,9.6,9.6,30.1,30.1,533078.0,533078.0,0.0,156236.0,533100.0,0.0,0.0,3.72,0.03,No,Compliant,18388.0,47.54912,-122.3276771,6001 6TH AVE S,SEATTLE,WA,A,"6001 6TH AVE S,SEATTLE,WA"
1994,547,2016,NonResidential,Warehouse,NWCP-SEA Bldg B,2,GREATER DUWAMISH,1966,1.0,1.0,55700,0,55700,NON-REFRIGERATED WAREHOUSE,Non-Refrigerated Warehouse,55700.0,63.0,9.300000191,9.5,29.3,29.8,519806.0938,528115.6875,0.0,152346.4063,519806.0,0.0,0.0,3.62,0.06,False,Compliant,98108.0,47.54912,-122.32818999999999,6001 6th Ave S,Seattle,WA,A,"6001 6th Ave S,Seattle,WA"
381,548,2015,NonResidential,Office,RESOURCE CENTER,2,GREATER DUWAMISH,1964,1.0,1.0,53250,0,53250,"OFFICE, PARKING",Office,52759.0,92.0,41.6,40.2,88.3,83.8,2196718.0,2120938.0,0.0,329805.0,1125340.0,10714.0,1071424.0,64.75,1.13,No,Compliant,18388.0,47.54965,-122.3276807,5933 6TH AVE S,SEATTLE,WA,A+,"5933 6TH AVE S,SEATTLE,WA"
1995,548,2016,NonResidential,Office,Resource Center,2,GREATER DUWAMISH,1964,1.0,1.0,53250,0,53250,"OFFICE, PARKING",Office,52759.0,96.0,34.0,33.40000153,77.2,75.3,1794187.25,1760992.25,0.0,307202.0,1048173.0,7460.140137,746014.0,46.93,0.88,False,Compliant,98108.0,47.54965,-122.3278,5933 6th Ave S,Seattle,WA,A+,"5933 6th Ave S,Seattle,WA"
382,549,2015,NonResidential,Office,400 MERCER STREET OFFICE BUILDING,7,MAGNOLIA / QUEEN ANNE,1987,1.0,6.0,78672,28427,50245,SMALL- AND MID-SIZED OFFICE,,,95.0,34.5,36.7,94.5,96.8,2713722.0,2886059.0,0.0,643270.0,2194927.0,5189.0,518886.0,42.86,0.42,No,Compliant,18390.0,47.624759999999995,-122.3485262,400 MERCER ST,SEATTLE,WA,A+,"400 MERCER ST,SEATTLE,WA"
